name,lat,lng,type,state,district,code
Heelalige,12.8132888,77.7110736,train_station,,,HLE
Anekal Road,12.723608,77.7105301,train_station,,,AEK
Sewri,18.9987796,72.8544218,train_station,,,SVE
Cotton Green,18.9871866,72.8438965,train_station,,,CTGN
Nimbal,17.1187954,75.8603369,train_station,,,NBL
Nawandgi,17.2163574,77.4271607,train_station,,,NAW
Tandur,17.2509364,77.5841263,train_station,,,TDU
Bidar,17.9118862,77.5154346,train_station,,,BIDR
Ratanpura,25.9219071,83.7444266,train_station,,,RTP
Tiruchendur,8.5024637,78.1173,train_station,,,TCN
Krishnapuram,14.4959623,78.7743158,train_station,,,KPU
Hastavaramu,14.2189317,79.122011,train_station,,,HAQ
Razampeta,14.1852984,79.1531123,train_station,,,RJP
Nellore,14.4619736,79.9902272,train_station,,,NLR
Kadapa Junction,14.4515672,78.8292776,train_station,,,HX
Kolar,13.123993,78.1329276,train_station,,,KQZ
Chamarajanagar,11.9346006,76.9328209,train_station,,,CMNR
