name,lat,lng,type,state,district,operator
Indian Oil,12.9918778,79.9857961,petrol_pump,,,
Petrol Pump,29.4775425,77.697329,petrol_pump,,,
Reliance Petroleum,11.4224358,75.9340804,petrol_pump,,,
Petrol Pump,29.6897412,77.6820891,petrol_pump,,,
Petrol Pump,29.7006895,77.6820443,petrol_pump,,,
Petrol Pump,29.5780724,77.6893648,petrol_pump,,,
Petrol Pump,18.9605094,72.8012499,petrol_pump,,,
Petrol Pump,11.0013862,76.9691697,petrol_pump,,,
Petrol Pump,18.8443863,73.2793947,petrol_pump,,,HP
Petrol Pump,31.4033885,75.5255118,petrol_pump,,,
Petrol Pump,31.5480498,75.1785013,petrol_pump,,,IO
Petrol Pump,31.5291268,75.2669602,petrol_pump,,,HP
Petrol Pump,31.5263697,75.2751978,petrol_pump,,,IO
Petrol Pump,31.5143781,75.2950397,petrol_pump,,,HP
Petrol Pump,31.4397625,75.4943275,petrol_pump,,,IO
Friends Filling Station,31.4262606,75.5096904,petrol_pump,,,IO
Petrol Pump,31.6126578,74.9205761,petrol_pump,,,
Petrol Pump,31.5984138,74.9485505,petrol_pump,,,indian oil
Petrol Pump,31.5601507,75.1146572,petrol_pump,,,BP
Petrol Pump,31.5587499,75.1247791,petrol_pump,,,IO
Petrol Pump,31.3606171,75.5672928,petrol_pump,,,BP
Petrol Pump,31.3379875,75.6096335,petrol_pump,,,IO
Petrol Pump,31.3071315,75.6256213,petrol_pump,,,HP
Indian Oil,31.3059739,75.6319612,petrol_pump,,,
Petrol Pump,31.2921789,75.6564981,petrol_pump,,,IO
Petrol Pump,31.2827384,75.6702375,petrol_pump,,,IO
Petrol Pump,31.2786982,75.6754524,petrol_pump,,,IBP
Petrol Pump,31.2667975,75.695819,petrol_pump,,,
Petrol Pump,31.2674507,75.6966149,petrol_pump,,,
Petrol Pump,31.2448572,75.7437773,petrol_pump,,,IO
Petrol Pump,31.2289531,75.7627367,petrol_pump,,,BP
Petrol Pump,31.2273157,75.7634629,petrol_pump,,,HP
Petrol Pump,31.1965715,75.7718889,petrol_pump,,,BP
Petrol Pump,31.1568515,75.7755627,petrol_pump,,,HP
Petrol Pump,31.152762,75.7745031,petrol_pump,,,IO
Petrol Pump,31.1392213,75.7747632,petrol_pump,,,BP
Petrol Pump,31.116645,75.7759221,petrol_pump,,,IBP
Petrol Pump,31.0804793,75.7818722,petrol_pump,,,BP
Petrol Pump,31.0408308,75.783799,petrol_pump,,,IO
Petrol Pump,31.0134415,75.783729,petrol_pump,,,IO
Petrol Pump,30.9810443,75.7920507,petrol_pump,,,Satinder Sobti
Petrol Pump,30.9380911,75.8356358,petrol_pump,,,IO
Petrol Pump,30.9321307,75.8416786,petrol_pump,,,BP
Petrol Pump,30.8774108,75.8591213,petrol_pump,,,BP
Petrol Pump,30.8857739,75.8346868,petrol_pump,,,IO
Indian Oil,28.3651932,77.0596218,petrol_pump,,,Indian Oil
Dhillon Filling Station,28.3461287,77.0675549,petrol_pump,,,HP
Indian Oil,28.4541686,77.0294308,petrol_pump,,,Indian Oil
Indraprastha Gas Limited,28.5848782,77.2602207,petrol_pump,,,
Indian Oil,28.6175988,77.2497911,petrol_pump,,,
Indraprastha Gas Limited,28.6186155,77.2493074,petrol_pump,,,
Indraprastha Gas Limited,28.6818859,77.2297995,petrol_pump,,,
Indian Oil,28.7314747,77.1839327,petrol_pump,,,
IBP Limited,28.7561213,77.147976,petrol_pump,,,
Indian Oil,28.7943045,77.1391309,petrol_pump,,,
Bharat Petroleum,28.7962535,77.1390084,petrol_pump,,,
Bharat Pteroleum,28.831095,77.1304498,petrol_pump,,,
Hindustan Petroleum,28.8558765,77.1257097,petrol_pump,,,
Hindustan Petroleum,28.8747471,77.1218454,petrol_pump,,,
Indian Oil,28.8754211,77.1203457,petrol_pump,,,
Indian Oil,28.8901304,77.1160838,petrol_pump,,,
Indian Oil,29.0449459,77.0679064,petrol_pump,,,
Bharat Petroleum,29.0609667,77.0642532,petrol_pump,,,
Indian Oil,29.0655068,77.0629419,petrol_pump,,,
Gail,29.0904004,77.0557264,petrol_pump,,,
Hindustan Petroleum,28.9758591,77.0890603,petrol_pump,,,
Indian Oil,28.5855272,77.3092979,petrol_pump,,,
Petrol Pump,30.4518541,78.0801666,petrol_pump,,,
Petrol Pump,29.7504518,77.8513745,petrol_pump,,,
JIO BP,29.6714614,77.6815184,petrol_pump,,,
Petrol Pump,29.5403447,77.7297003,petrol_pump,,,
Petrol Pump,29.4861716,77.74719,petrol_pump,,,
Petrol Pump,29.4185373,77.7012766,petrol_pump,,,
Petrol Pump,29.406372,77.7019732,petrol_pump,,,
Indian Oil,29.105987,77.7112326,petrol_pump,,,
Hindustan Petroleum,19.2745442,72.8855876,petrol_pump,,,
Petrol Pump,18.5067839,73.8979581,petrol_pump,Maharashtra,,
Mukul Petrol Pump,18.53956,73.885683,petrol_pump,MH,,
Indian Oil,12.9967798,77.5404068,petrol_pump,,,Indian Oil
Bharat Petroleum,12.9966627,77.5400464,petrol_pump,,,Bharat Petroleum
IOCL,26.8707127,80.9630368,petrol_pump,,,IOCL
Indian Oil Petrol Pump,26.8650887,80.996398,petrol_pump,,,IOCL
Indian Oil Petrol Station,26.8720047,80.9964674,petrol_pump,,,IBP
Indian Oil Petrol Station,26.8857723,80.9925664,petrol_pump,,,IOCL
Petrol Pump,28.2039411,76.7739915,petrol_pump,,,
Indian Oil,12.299309,76.6429854,petrol_pump,,,Indian Oil
Petrol Pump,28.1727896,76.7022596,petrol_pump,,,
Petrol Pump,28.2051038,76.761129,petrol_pump,,,
Petrol Pump,28.2073115,76.7893891,petrol_pump,,,
Petrol Pump,28.2900511,76.8608798,petrol_pump,,,
Petrol Pump,28.304426,76.8774119,petrol_pump,,,
Superjet Petroleum,11.0592219,76.2751214,petrol_pump,,,IBP
Petrol Pump,31.6555219,76.051792,petrol_pump,,,
HP,31.7094206,76.0891094,petrol_pump,,,
Indian Oil,31.7825749,76.1187188,petrol_pump,,,
Petrol Pump,31.3688469,75.8198162,petrol_pump,,,
Petrol Pump,31.3196329,75.8045319,petrol_pump,,,
Petrol Pump,31.4718757,75.878207,petrol_pump,,,
petrol bunk,12.9437458,80.1347202,petrol_pump,,,Bharat petroleum
Indian Oil,12.9441544,80.1352387,petrol_pump,,,
HP petrol bunk,12.9436249,80.1389873,petrol_pump,,,mahalakshmi
Indian Oil,32.1945755,76.3451712,petrol_pump,,,
HP,8.51904,76.9609452,petrol_pump,,,
Bharat Petroleum,13.0096888,77.5624992,petrol_pump,,,
Jatindra,30.8197669,75.5634744,petrol_pump,,,HP
HP,11.8178753,76.684553,petrol_pump,,,
Petrol Pump,31.3145493,75.5932526,petrol_pump,,,
Petrol Pump,28.4383786,77.0896164,petrol_pump,,,
Bharat Petroleum,31.5223557,76.8859222,petrol_pump,,,BPCL
Petrol Pump,28.2079316,76.9617554,petrol_pump,,,
Nadakkave Pump,11.2731945,75.7777643,petrol_pump,,,
Hindustan Petroleum,13.0436252,77.5536883,petrol_pump,,,Hindustan Petroleum
Indian Oil,12.9571863,77.5862334,petrol_pump,,,
Shell,13.0484551,80.2066281,petrol_pump,,,
Petrol Pump,30.4805962,76.5940877,petrol_pump,,,
Petrol Pump,30.4936574,76.6023287,petrol_pump,,,
Petrol Pump,30.4993022,76.6151524,petrol_pump,,,
Petrol Pump,30.3390727,76.3982833,petrol_pump,,,
Petrol Pump,30.3400253,76.3997542,petrol_pump,,,
Petrol Pump,30.3385048,76.4293281,petrol_pump,,,
Petrol Pump,30.3450595,76.4385748,petrol_pump,,,
Petrol Pump,30.3861872,76.4921723,petrol_pump,,,
Petrol Pump,30.401204,76.5085751,petrol_pump,,,
Petrol Pump,30.4314091,76.5401331,petrol_pump,,,
Petrol Pump,30.4420572,76.5517007,petrol_pump,,,
Petrol Pump,30.5380411,76.6891673,petrol_pump,,,
Petrol Pump,30.5538163,76.7143825,petrol_pump,,,
Petrol Pump,30.5648209,76.7259046,petrol_pump,,,
Petrol Pump,30.6003918,76.7676356,petrol_pump,,,
Petrol Pump,30.6084633,76.7768535,petrol_pump,,,
hindustan petroleum,30.3220555,76.4141205,petrol_pump,,,
Petrol Pump,30.3075067,76.4416995,petrol_pump,,,
Petrol Pump,11.3038959,76.9363899,petrol_pump,,,
Petrol Pump,28.5937773,77.0778122,petrol_pump,,,
HP,28.6562179,77.0895469,petrol_pump,,,
Petrol Pump,28.4809004,77.0247939,petrol_pump,,,
Petrol Pump,10.2360004,78.738452,petrol_pump,,,
Petrol Pump,28.640747,77.1067165,petrol_pump,,,
Petrol Pump,13.109739,80.2662537,petrol_pump,,,
Petrol Pump,13.0867504,80.2586838,petrol_pump,,,
hindustan petrolium,31.2117529,75.4223281,petrol_pump,,,
Indian Oil,27.5621729,77.6259754,petrol_pump,,,
Supplyco Pump,8.5103383,76.9602255,petrol_pump,,,Supplyco
Petrol Pump,9.935476,76.4221195,petrol_pump,,,
Petrol Pump,9.936015,76.4218727,petrol_pump,,,
