name,lat,lng,type,state,district,operator
UCO,19.7939425,85.8202923,atm,,,
SBI,19.7474538,85.2011909,atm,,,
ICICI Bank,12.9994929,77.5989568,atm,,,ICICI Bank
HDFC Bank,9.7131444,76.6894731,atm,,,HDFC Bank
Axis Bank,19.2808585,72.8716701,atm,,,Axis Bank
Canara Bank ATM,19.2807183,72.8718303,atm,,,Canara Bank ATM
State Bank Of India,15.4219467,75.6232579,atm,,,State Bank Of India
Canara Bank ATM,13.0009914,77.6184047,atm,,,Canara Bank ATM
SBI ATM,9.6868115,76.7780286,atm,,,
HDFC ATM,12.9798305,77.7271038,atm,,,HDFC ATM
HDFC Bank,12.9446952,80.1211578,atm,,,HDFC Bank
ATM,10.8784912,77.0033378,atm,,,
State Bank of India,12.9660842,77.7183767,atm,,,State Bank of India
ICICI Bank,12.9655581,77.7187512,atm,,,ICICI Bank
Corporation Bank,12.9367338,80.1300984,atm,,,Corporation Bank
ATM,10.3163385,76.1444677,atm,,,ATM
Icici ATM,17.7120988,83.3032397,atm,,,ICICI Bank
Punjab National Bank ATM,10.8289824,76.0229316,atm,,,Punjab National Bank ATM
HDFC Bank,10.5939363,76.6007989,atm,,,HDFC Bank
HDFC Bank,19.1721325,72.8506143,atm,,,HDFC Bank
State Bank of India,12.313992,76.6563051,atm,,,State Bank of India
The Saraswat Bank,19.1668093,72.8511593,atm,,,The Saraswat Bank
ATM,10.5199927,76.2119895,atm,,,
Axis Bank,12.0336728,92.9932748,atm,,,Axis Bank
Axis bank ATM private to Ferns Icon,12.9790704,77.693907,atm,,,
Indian Bank,10.2353963,77.4920834,atm,,,Indian Bank
State Bank of India,19.1704053,72.8497042,atm,,,State Bank of India
Citibank ATM,19.2514622,72.9805361,atm,,,Citibank ATM
AXIS Bank ATM,19.2551009,72.9804959,atm,,,AXIS Bank ATM
HDFC Bank ATM,19.249135,72.9792996,atm,,,HDFC Bank ATM
State Bank of India,12.9954058,77.6992647,atm,,,State Bank of India
State Bank of India,30.3273832,78.066164,atm,,,State Bank of India
ATM,30.3140638,78.0340241,atm,,,
Punjab National Bank ATM,12.9968841,77.7612995,atm,,,Punjab National Bank
IDBI Bank,12.9713009,77.6347274,atm,,,IDBI Bank
State Bank of India,12.7305984,80.0005102,atm,,,State Bank of India
State Bank of India,9.7001491,76.7275316,atm,,,State Bank of India
ATM,17.4625754,78.3670074,atm,,,
ATM,17.4593336,78.3663932,atm,,,
Axis Bank ATM,17.4649832,78.3651673,atm,,,Axis Bank ATM
ATM,17.4321596,78.3447962,atm,,,
State Bank of India,30.3799403,78.0872821,atm,,,State Bank of India
Union Bank of India,30.3549729,78.0831496,atm,,,Union Bank of India
Bank of India,17.4436204,78.3625498,atm,,,Bank of India
ATM,17.4413077,78.3588154,atm,,,
IndusInd Bank,30.3334462,78.0243669,atm,,,IndusInd Bank
SyndicateBank,30.3333482,78.012246,atm,,,SyndicateBank
Punjab National Bank,30.3397404,78.0514396,atm,,,Punjab National Bank
State Bank of India,30.3364849,78.0545984,atm,,,State Bank of India
Canara Bank,30.329612,78.0468802,atm,,,Canara Bank
Standard Chartered Bank,19.2538962,72.9824227,atm,,,Standard Chartered Bank
HDFC Bank,12.972808,80.2580237,atm,,,HDFC Bank
State Bank of India,30.4560353,78.0776213,atm,,,State Bank of India
Atm3,24.5918724,73.6981856,atm,,,
Union Bank of India (UBI),17.4614538,78.4743709,atm,,,Union Bank of India (UBI)
State Bank of India (SBI),17.463425,78.473676,atm,,,State Bank of India (SBI)
State Bank of India (SBI),17.4908162,78.3930704,atm,,,State Bank of India (SBI)
UTI,17.4430424,78.4896911,atm,,,UTI
State Bank of India,30.4081868,74.0273511,atm,,,State Bank of India
HDFC Bank,30.4042762,74.022627,atm,,,HDFC Bank
ATM,12.9858253,77.735868,atm,,,
HDFC,17.4502886,78.3733802,atm,,,HDFC
ICICI,17.4498331,78.3736162,atm,,,ICICI
ATM,28.0095351,73.3508206,atm,,,
Union Bank ATM,18.5089944,73.8091297,atm,,,Union Bank ATM
