name,lat,lng,type,state,district
T.S.M.; Public school,30.8653862,75.8658202,school,,
MerryMint School,30.8750976,75.8794317,school,,
Guru Amar Das Senior Secondary School,30.8644424,75.8524122,school,,
Indian Public School,30.8576088,75.8866687,school,,
Shri Harkrishan sahib public Senior Secondary School,30.8731467,75.867017,school,,
Akanksah Institute,30.857976,75.8377023,school,,
NMerry Mint Public School,30.8771361,75.8797126,school,,
Guru Nanak Senior School,30.8777204,75.8622982,school,,
Nanakana sahib Model High School,30.8776885,75.8601,school,,
Shri Waheguru Public School,30.8805455,75.8677528,school,,
Shri Harkrishan Public Senior Secondary School,30.8727822,75.8669909,school,,
New Central Model High School,30.8779882,75.8639086,school,,
Indian Public School,30.8576065,75.8866671,school,,
BCM School,30.8628137,75.8335507,school,,
Sri Guru Harkrishan Public School,30.8782461,75.8471185,school,,
Vivekananda School Tenkila,12.7577747,75.19987,school,,
Junior's Worlds Playway,30.8661479,75.8636335,school,,
21st Centre(Institute of success thinking),30.8664447,75.8649299,school,,
Y.S. Public School,30.3767233,75.5412846,school,,
Sai,17.2297715,80.149545,school,,
Vittal Jaycees English Medium School,12.7651639,75.09584,school,,
Government College,12.7709439,75.1041271,school,,
"Guru Nanak Public School, Branch:-Birmi",30.9119877,75.7255156,school,,
Babanakatte Primary School,12.8067779,75.1128591,school,,
Bantrtinja School,12.8190076,75.1100589,school,,
"Government Primary School, Arat",32.6716796,76.7204163,school,,
"Government Primary School, Khanjer",32.8718859,76.857443,school,,
Phukthal Gompa School,33.2678709,77.1789302,school,,
Govt Senior secondary school-lehal,30.6881116,75.9638249,school,,
spoken english centre,30.7268577,75.9411945,school,,
"Guru Harkishan Public School, Ghawaddi",30.7798332,75.8917512,school,,
Govt Senior Secondary School,30.7358668,75.946754,school,,
Nankana Sahib Public School,30.8533928,75.8595057,school,,
G.N.D.English Public,30.8701389,75.8777283,school,,
Bal Vidya Mandir,30.8706406,75.8787779,school,,
BidKhurd,18.8382,73.3416,school,,
GND Public school,30.8642754,75.8824425,school,,
Sri S.R.Memorial Public Sr. Sec. School,30.8641428,75.8832836,school,,
La Chatlaine,13.0442984,80.1853388,school,,
Kolla Perumal (KPVCSS),13.0745115,80.2139192,school,,
KMUP School Eroor,9.9777035,76.3347034,school,,
Elite english,17.2469728,80.1435203,school,,
Akal sahai Convent School,30.8658569,75.8738296,school,,
"St Josephs Eng Pri Sch, B T M Layout W No 65",12.9141469,77.6116922,school,,
Guru Teg Bahadur Mission Sen. Sec. School,30.8655563,75.8684688,school,,
G.H.G Khalsa High School,30.8646684,75.8737209,school,,
Satpal Mittal School,30.868763,75.835238,school,,
Velammal School (Ambattur),13.1285206,80.149466,school,,
Auden Public School,12.9381024,77.543378,school,,
Auden School,12.9323436,77.5437984,school,,
"Government Primary School, Bundla",32.1331346,76.5410154,school,,
"Government Senior Secondary School, Bundla",32.1325497,76.5406532,school,,
"Green View Senior Secondary School, Bundla",32.1334826,76.5407233,school,,
Drishya,13.1048022,77.5810644,school,,
SM English School,12.9846765,77.7183953,school,,
st. Peter's UP School Karamala,9.8592795,76.6222232,school,,
Spring Dale Public,30.8718526,75.8788536,school,,
St. Antonys UPS,9.7236141,76.6465135,school,,
Krishna Prasad Memorial High School,17.2346685,80.1455527,school,,
St. Xavier's Higher Secondary School,27.364888,95.319561,school,,
S.G.D Grammer School,30.8626426,75.9181302,school,,
Madhya Zaloni Primary School,27.3591795,95.3262363,school,,
Tipling Ghat High School,27.3344746,95.3284261,school,,
Jatiyo Vidyalaya,27.330619,95.334356,school,,
School,27.1833792,94.9138784,school,,
Sarada Matriculation School,12.9674323,80.1281637,school,,
Ammaniammal School,12.9660634,80.1263205,school,,
Nandadeep Vidyalay,19.1625315,72.8548539,school,,
Mother Montessori House of Children Pre-school,12.985118,77.679021,school,,
LR International School,12.977267,77.679729,school,,
Zilla Parishad High School,17.4442254,80.1487011,school,,
OCS Learning,8.4988465,76.9442632,school,,
Yongling School,32.2369086,76.3262983,school,,
School,9.7481071,76.6435796,school,,
Technical School Pala,9.6992774,76.6521799,school,,
Bala Saravana Matriculation School,12.9831591,80.2104214,school,,
Government Girls College,31.6406635,74.8566366,school,,
Kendriya Vidyalaya No 1,31.6458789,74.8483861,school,,
Geetanjali,17.2300037,80.1380798,school,,
Lokseva CBSE School,18.5463629,73.7838017,school,,
School,8.4907132,76.9163538,school,,
Auckland House School,31.1048176,77.1778743,school,,
Auckland House School,31.1093435,77.1789131,school,,
Mariampur School,26.4658333,80.3052778,school,,
Paschim Zaloni L.P.School,27.3575,95.3177778,school,,
Rashtra Bhasha School,27.3530556,95.3219444,school,,
School,31.1120134,77.1601558,school,,
Kendriya Vidhyalaya,27.3543351,95.3453636,school,,
Poorab Zaloni Primary School,27.3554833,95.3321189,school,,
Kendriya Vidhyalaya,27.4833465,95.358721,school,,
Bengali Girls High School,27.4894664,95.3509533,school,,
Sarvajanin HS Valika Vidyalaya,27.4894253,95.3568437,school,,
Budding Buds Senior Secondary School,27.4889778,95.3583245,school,,
Tinsukia Railway High School,27.4858878,95.3578091,school,,
Pinewood Residential School,27.4978415,95.3498054,school,,
Adarsha Prarthamic Vidyalaya,27.4897234,95.3556204,school,,
Bipin Bora Middle English School,27.4941965,95.3648686,school,,
Gobardhan Gowenka Primary School,27.4938729,95.3648579,school,,
Bipin Bora High School,27.4940062,95.3644073,school,,
Senairam Higher Secondary School,27.4910178,95.3608239,school,,
Assisi School,13.0301954,80.1774604,school,,
PSBB School,13.0397071,80.1996798,school,,
Sri Krishna Swamy Mat. Hr. Sec. School,13.0382542,80.1976842,school,,
Holy Child School,27.4882291,95.3369093,school,,
Sarbananda High School,27.4974037,95.3422415,school,,
Holy Saint English School,12.9217736,77.5925109,school,,
Saraswati Vidya Mandir,12.9340338,77.5874849,school,,
Good Shepherd School,12.9229013,77.5816474,school,,
Nehru Smaraka Vidya Kendra,12.9271452,77.5778773,school,,
Community English High School,12.9387689,77.5841184,school,,
Lal Bahadur Shastri School,27.3648786,95.3124905,school,,
SSKV School,12.8401271,79.7019346,school,,
Don Bosco High School,27.4997924,95.3615642,school,,
Hindi English High School,27.4864192,95.3533583,school,,
DPS,27.3540669,95.3368649,school,,
Sacred Heart Girl's Higher Secondary School,9.7001486,76.7260802,school,,
St. Mary's Boys' HSS,9.7016835,76.7261419,school,,
Sarvodaya PU College,13.3431851,77.1086463,school,,
Bishop Sargeant School & College,13.3361221,77.1046823,school,,
German School Chennai,12.9515892,80.2606515,school,,
Butterflies,17.4619298,78.4945931,school,,
Gunrock Enclave High School,17.4617866,78.4968247,school,,
Govt. UP School Kamukumchury,9.0542652,76.8732762,school,,
Chilika School,19.7131378,85.1866003,school,,
Hindu Middle School,9.0115007,77.312383,school,,
School,17.4260406,78.5346675,school,,
Kendriya Vidyalaya No. 2 Dehu Road,18.6730544,73.7459281,school,,
Mahatma Gandhi Marathi Vidyalaya,18.6770184,73.734105,school,,
Kirti Vidyalaya High School,18.6571621,73.7663392,school,,
Sunflower School,17.4619332,78.4910979,school,,
The Dunmore House Preschool,12.9633529,77.7314283,school,,
SSV Hr Sec School,13.0885001,80.2777394,school,,
AB Parekh Hr Sec School,13.0883355,80.2772191,school,,
Sandeepamn Vidyalaya,17.4260413,78.5361627,school,,
St. Marys Girls Kuravilangad,9.7545756,76.5618695,school,,
Neev School,12.9625721,77.7476906,school,,
"Sri Gopalakrishna High School, Kudlu",12.5240269,74.9947433,school,,
Bangalore International Public School,12.9095131,77.5502862,school,,
St. Stephen's High School,27.5079288,95.355792,school,,
Mandal Parishad Primary School,17.2235161,80.1176105,school,,Khammam
Jetking Computer Hardware and Networking,12.9781581,77.7250546,school,,
Green Country Public School,13.0592352,77.5939566,school,,
Gandhi Nagar High School,12.9910826,77.5789046,school,,
ITI shahkot,31.0914023,75.3265229,school,,
The New Cambridge High School,12.9655564,77.5417627,school,,
New India School,18.5114263,73.7949421,school,,Pune
